ArNr,Artikelbezeichnung,PreisD,Rabattpreis,PreisCH,VE,Lagerbestand_generell,Bestelldatum1,Bestellmenge1,Bestelldatum2,Bestellmenge2,Bestelldatum3,Bestellmenge3,Kategorie,Subkategorie,Lagerbestand_sofort,Exportkennzeichen,Farbe,Groesse,Kennzeichen,Lagerbestand_physisch,
000003,          Holzstab                  3 mm,       0,       0,       0,     1,       622,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            622,1,          natur,              0,              000003,622,
000004,          Holzstab                  4 mm,       0,       0,       0,    10,       254,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            254,1,          natur,              0,              000003,254,
000006,          Holzstab                  6 mm,       0,       0,       0,     1,        90,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             90,1,          natur,              0,              000003,90,
000008,          Holzstab                  8 mm,       0,       0,       0,    20,        18,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             18,1,          natur,              0,              000003,18,
001005021,  Leuchte Pine schwarz 79cm *NICE PRICE*,   65.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005022,  Leuchte Pine schwarz 60cm *NICE PRICE*,   49.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005023,     Leuchte Pine wei� 79cm *NICE PRICE*,   65.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005024,     Leuchte Pine wei� 60cm *NICE PRICE*,   49.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008001,     Leuchte Dusk wei� 80cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008002,  Leuchte Dusk schwarz 80cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
